home_team,score,away_team
Dinamo Zagreb hr,1–0,eng Chelsea
Dortmund de,3–0,dk FC Copenhagen
Celtic sct,0–3,es Real Madrid
Benfica pt,2–0,il Maccabi Haifa
RB Salzburg at,1–1,it Milan
Sevilla es,0–4,eng Manchester City
RB Leipzig de,1–4,ua Shakhtar
Paris S-G fr,2–1,it Juventus
Ajax nl,4–0,sct Rangers
Eint Frankfurt de,0–3,pt Sporting CP
Tottenham eng,2–0,fr Marseille
Napoli it,4–1,eng Liverpool
Atlético Madrid es,2–1,pt Porto
Barcelona es,5–1,cz Viktoria Plzeň
Inter it,0–2,de Bayern Munich
Club Brugge be,1–0,de Leverkusen
,,
Sporting CP pt,2–0,eng Tottenham
Viktoria Plzeň cz,0–2,it Inter
Liverpool eng,2–1,nl Ajax
Porto pt,0–4,be Club Brugge
Leverkusen de,2–0,es Atlético Madrid
Marseille fr,0–1,de Eint Frankfurt
Bayern Munich de,2–0,es Barcelona
Milan it,3–1,hr Dinamo Zagreb
Shakhtar ua,1–1,sct Celtic
Rangers sct,0–3,it Napoli
Chelsea eng,1–1,at RB Salzburg
Manchester City eng,2–1,de Dortmund
FC Copenhagen dk,0–0,es Sevilla
Juventus it,1–2,pt Benfica
Real Madrid es,2–0,de RB Leipzig
Maccabi Haifa il,1–3,fr Paris S-G
,,
Bayern Munich de,5–0,cz Viktoria Plzeň
Marseille fr,4–1,pt Sporting CP
Liverpool eng,2–0,sct Rangers
Porto pt,2–0,de Leverkusen
Eint Frankfurt de,0–0,eng Tottenham
Inter it,1–0,es Barcelona
Ajax nl,1–6,it Napoli
Club Brugge be,2–0,es Atlético Madrid
RB Leipzig de,3–1,sct Celtic
RB Salzburg at,1–0,hr Dinamo Zagreb
Chelsea eng,3–0,it Milan
Benfica pt,1–1,fr Paris S-G
Manchester City eng,5–0,dk FC Copenhagen
Real Madrid es,2–1,ua Shakhtar
Sevilla es,1–4,de Dortmund
Juventus it,3–1,il Maccabi Haifa
,,
FC Copenhagen dk,0–0,eng Manchester City
Maccabi Haifa il,2–0,it Juventus
Celtic sct,0–2,de RB Leipzig
Dortmund de,1–1,es Sevilla
Paris S-G fr,1–1,pt Benfica
Milan it,0–2,eng Chelsea
Dinamo Zagreb hr,1–1,at RB Salzburg
Shakhtar ua,1–1,es Real Madrid
Napoli it,4–2,nl Ajax
Atlético Madrid es,0–0,be Club Brugge
Sporting CP pt,0–2,fr Marseille
Rangers sct,1–7,eng Liverpool
Tottenham eng,3–2,de Eint Frankfurt
Viktoria Plzeň cz,2–4,de Bayern Munich
Leverkusen de,0–3,pt Porto
Barcelona es,3–3,it Inter
,,
Sevilla es,3–0,dk FC Copenhagen
RB Salzburg at,1–2,eng Chelsea
Benfica pt,4–3,it Juventus
Celtic sct,1–1,ua Shakhtar
Paris S-G fr,7–2,il Maccabi Haifa
Dortmund de,0–0,eng Manchester City
RB Leipzig de,3–2,es Real Madrid
Dinamo Zagreb hr,0–4,it Milan
Club Brugge be,0–4,pt Porto
Inter it,4–0,cz Viktoria Plzeň
Tottenham eng,1–1,pt Sporting CP
Eint Frankfurt de,2–1,fr Marseille
Atlético Madrid es,2–2,de Leverkusen
Barcelona es,0–3,de Bayern Munich
Ajax nl,0–3,eng Liverpool
Napoli it,3–0,sct Rangers
,,
Porto pt,2–1,es Atlético Madrid
Leverkusen de,0–0,be Club Brugge
Liverpool eng,2–0,it Napoli
Rangers sct,1–3,nl Ajax
Sporting CP pt,1–2,de Eint Frankfurt
Marseille fr,1–2,eng Tottenham
Bayern Munich de,2–0,it Inter
Viktoria Plzeň cz,2–4,es Barcelona
Real Madrid es,5–1,sct Celtic
Shakhtar ua,0–4,de RB Leipzig
Manchester City eng,3–1,es Sevilla
Chelsea eng,2–1,hr Dinamo Zagreb
FC Copenhagen dk,1–1,de Dortmund
Juventus it,1–2,fr Paris S-G
Milan it,4–0,at RB Salzburg
Maccabi Haifa il,1–6,pt Benfica
,,
Paris S-G fr,0–1,de Bayern Munich
Milan it,1–0,eng Tottenham
Dortmund de,1–0,eng Chelsea
Club Brugge be,0–2,pt Benfica
Liverpool eng,2–5,es Real Madrid
Eint Frankfurt de,0–2,it Napoli
RB Leipzig de,1–1,eng Manchester City
Inter it,1–0,pt Porto
Chelsea eng,2–0,de Dortmund
Benfica pt,5–1,be Club Brugge
Tottenham eng,0–0,it Milan
Bayern Munich de,2–0,fr Paris S-G
Porto pt,0–0,it Inter
Manchester City eng,7–0,de RB Leipzig
Napoli it,3–0,de Eint Frankfurt
Real Madrid es,1–0,eng Liverpool
Benfica pt,0–2,it Inter
Manchester City eng,3–0,de Bayern Munich
Real Madrid es,2–0,eng Chelsea
Milan it,1–0,it Napoli
Chelsea eng,0–2,es Real Madrid
Napoli it,1–1,it Milan
Bayern Munich de,1–1,eng Manchester City
Inter it,3–3,pt Benfica
Real Madrid es,1–1,eng Manchester City
Milan it,0–2,it Inter
Inter it,1–0,it Milan
Manchester City eng,4–0,es Real Madrid
Manchester City eng,,it Inter
